Query,,,,,,Subject,,,,,,Score,,Identities,,Gaps,,Strand,,Taxonomy,,,,,,,,,Filter,NCBI_16S_ribosomal_RNA_20200305
denovo615,423,4,1,423,100,"NR_165776.1 Microvirga brassicacearum strain CDVBN77 16S ribosomal RNA, partial sequence",NR_165776.1,1493,312,734,28.33,715.8,0,411/423,97,0/423,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Microvirga; Microvirga brassicacearum,Microvirga brassicacearum,Microvirga,Methylobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo616,423,1,1,423,100,"NR_132293.1 Thermomarinilinea lacunifontana strain SW7 16S ribosomal RNA, partial sequence",NR_132293.1,1435,318,727,28.57,364.9,0,350/423,82,13/423,3,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo617,423,1,1,423,100,"NR_041633.1 Ilumatobacter fluminis YM22-133 16S ribosomal RNA, partial sequence",NR_041633.1,1439,314,736,29.4,721.3,0,412/423,97,0/423,0,Plus,Plus,Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; Ilumatobacter; Ilumatobacter fluminis,Ilumatobacter fluminis,Ilumatobacter,Ilumatobacteraceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,,Bacteria,,
denovo618,423,3,1,423,100,"NR_074614.1 Thermomonospora curvata strain DSM 43183 16S ribosomal RNA, partial sequence",NR_074614.1,1519,342,764,27.85,776.7,0,422/423,99,0/423,0,Plus,Plus,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Thermomonospora; Thermomonospora curvata,Thermomonospora curvata,Thermomonospora,Thermomonosporaceae,Streptosporangiales,Actinobacteria,Actinobacteria,,Bacteria,,
denovo619,423,3,110,423,74.23,"NR_112764.1 Halarchaeum rubridurum strain MH1-16-3 16S ribosomal RNA, complete sequence",NR_112764.1,1476,432,745,21.27,154.4,0,241/318,75,8/318,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo620,423,1,1,423,100,"NR_025327.1 Gimesia maris strain 534-30 16S ribosomal RNA, partial sequence",NR_025327.1,1504,316,738,28.13,455.4,0,367/426,86,6/426,1,Plus,Plus,Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Gimesia; Gimesia maris,Gimesia maris,Gimesia,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetes,,Bacteria,,
denovo621,423,1,1,421,99.53,"NR_029238.1 Pelobacter acetylenicus strain WoAcy1 16S ribosomal RNA, partial sequence",NR_029238.1,1537,332,752,27.39,484.9,0,368/421,87,0/421,0,Plus,Plus,Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Desulfuromonadaceae; Pelobacter; Pelobacter acetylenicus,Pelobacter acetylenicus,Pelobacter,Desulfuromonadaceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,,Bacteria,,
denovo622,423,1,1,423,100,"NR_112186.1 Rhizomicrobium palustre strain A48 16S ribosomal RNA, partial sequence",NR_112186.1,1406,284,706,30.09,704.7,0,409/423,96,0/423,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium palustre,Rhizomicrobium palustre,Rhizomicrobium,Micropepsaceae,Micropepsales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo623,423,5,1,423,100,"NR_115693.1 Gracilibacter thermotolerans JW/YJL-S1 16S ribosomal RNA, partial sequence",NR_115693.1,1526,442,864,27.72,599.4,0,391/424,92,2/424,0,Plus,Plus,Bacteria; Firmicutes; Clostridia; Clostridiales; Gracilibacteraceae; Gracilibacter; Gracilibacter thermotolerans,Gracilibacter thermotolerans,Gracilibacter,Gracilibacteraceae,Clostridiales,Clostridia,Firmicutes,,Bacteria,,
denovo624,423,1,130,421,69.03,"NR_148580.1 Acidicapsa acidisoli strain SK-11 16S ribosomal RNA, partial sequence",NR_148580.1,1465,417,710,20.07,331.7,0,259/297,87,8/297,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo625,423,1,1,423,100,"NR_147776.1 Thermanaeromonas burensis strain IA 106 16S ribosomal RNA, partial sequence",NR_147776.1,1537,350,773,27.59,492.3,0,377/430,87,13/430,3,Plus,Plus,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermanaeromonas; Thermanaeromonas burensis,Thermanaeromonas burensis,Thermanaeromonas,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,,Bacteria,,
denovo626,423,1,1,421,99.53,"NR_042183.1 Methylococcus capsulatus str. Texas = ATCC 19069 16S ribosomal RNA, partial sequence",NR_042183.1,1481,318,738,28.43,534.8,0,379/423,89,4/423,0,Plus,Plus,Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylococcus; Methylococcus capsulatus,Methylococcus capsulatus,Methylococcus,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,,Bacteria,,
denovo627,423,2,1,422,99.76,"NR_157697.1 Micrococcoides hystricis strain TSL3 16S ribosomal RNA, partial sequence",NR_157697.1,1427,285,707,29.64,243,0,334/431,77,17/431,3,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo628,423,1,1,423,100,"NR_113569.1 Portibacter lacus strain YM8-076 16S ribosomal RNA, partial sequence",NR_113569.1,1478,332,753,28.55,453.5,0,364/423,86,1/423,0,Plus,Plus,Bacteria; Bacteroidetes; Saprospiria; Saprospirales; Haliscomenobacteraceae; Portibacter; Portibacter lacus,Portibacter lacus,Portibacter,Haliscomenobacteraceae,Saprospirales,Saprospiria,Bacteroidetes,,Bacteria,,
denovo629,423,1,1,423,100,"NR_132293.1 Thermomarinilinea lacunifontana strain SW7 16S ribosomal RNA, partial sequence",NR_132293.1,1435,318,740,29.48,533,0,381/426,89,6/426,1,Plus,Plus,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Thermomarinilinea; Thermomarinilinea lacunifontana,Thermomarinilinea lacunifontana,Thermomarinilinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,,Bacteria,,
denovo630,423,2,1,423,100,"NR_074670.1 Planctopirus limnophila strain DSM 3776 16S ribosomal RNA, partial sequence",NR_074670.1,1524,325,762,28.74,479.4,0,382/439,87,17/439,3,Plus,Plus,Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Planctopirus; Planctopirus limnophila,Planctopirus limnophila,Planctopirus,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetes,,Bacteria,,
denovo631,423,1,1,423,100,"NR_157715.1 Terrimonas terrae strain T16R-129 16S ribosomal RNA, partial sequence",NR_157715.1,1471,325,747,28.76,749,0,417/423,98,0/423,0,Plus,Plus,Bacteria; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; Terrimonas; Terrimonas terrae,Terrimonas terrae,Terrimonas,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,,Bacteria,,
denovo632,423,2,1,423,100,"NR_104954.1 Hyphomicrobium aestuarii strain ATCC 27483 16S ribosomal RNA, partial sequence",NR_104954.1,1387,290,712,30.5,715.8,0,411/423,97,0/423,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; Hyphomicrobium aestuarii,Hyphomicrobium aestuarii,Hyphomicrobium,Hyphomicrobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo633,423,2,1,394,93.14,"NR_121678.1 Desulfuromonas acetoxidans strain DSM 684 16S ribosomal RNA, partial sequence",NR_121678.1,1558,354,747,25.29,357.5,0,331/398,83,8/398,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo634,423,1,1,423,100,"NR_104782.1 Spirochaeta aurantia subsp. aurantia strain J1 16S ribosomal RNA, partial sequence",NR_104782.1,1528,329,751,27.68,649.3,0,401/425,94,4/425,0,Plus,Plus,Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta; Spirochaeta aurantia,Spirochaeta aurantia,Spirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,,Bacteria,,
denovo635,423,1,1,423,100,"NR_134756.1 Limisphaera ngatamarikiensis strain NGM72.4 16S ribosomal RNA, partial sequence",NR_134756.1,1410,301,723,30,494.2,0,375/427,87,8/427,1,Plus,Plus,Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobia subdivision 3; Limisphaera; Limisphaera ngatamarikiensis,Limisphaera ngatamarikiensis,Limisphaera,Verrucomicrobia subdivision 3,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,,Bacteria,,
denovo636,423,2,1,423,100,"NR_074100.1 Owenweeksia hongkongensis strain DSM 17368 16S ribosomal RNA, partial sequence",NR_074100.1,1513,331,753,27.96,516.3,0,375/423,88,0/423,0,Plus,Plus,Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia; Owenweeksia hongkongensis,Owenweeksia hongkongensis,Owenweeksia,Cryomorphaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,,Bacteria,,
denovo637,423,5,1,417,98.58,"NR_118618.1 Nocardia beijingensis strain DSM 44636 16S ribosomal RNA, partial sequence",NR_118618.1,1376,274,683,29.8,331.7,0,341/419,81,11/419,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo638,423,1,1,423,100,"NR_025906.1 Arcobacter nitrofigilis strain CI 16S ribosomal RNA, partial sequence",NR_025906.1,1461,341,762,28.88,316.9,0,342/426,80,7/426,1,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo639,423,1,1,423,100,"NR_134756.1 Limisphaera ngatamarikiensis strain NGM72.4 16S ribosomal RNA, partial sequence",NR_134756.1,1410,301,723,30,466.5,0,367/424,86,2/424,0,Plus,Plus,Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobia subdivision 3; Limisphaera; Limisphaera ngatamarikiensis,Limisphaera ngatamarikiensis,Limisphaera,Verrucomicrobia subdivision 3,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,,Bacteria,,
denovo640,423,1,1,421,99.53,"NR_112810.2 Thermaerobacter composti JCM 15650 strain Ni80 16S ribosomal RNA, partial sequence",NR_112810.2,1456,345,762,28.71,359.4,0,348/423,82,7/423,1,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo641,423,1,1,423,100,"NR_108511.1 Chryseolinea serpens strain RYG 16S ribosomal RNA, partial sequence",NR_108511.1,1472,322,744,28.74,632.7,0,398/425,93,4/425,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; ; Chryseolinea; Chryseolinea serpens,Chryseolinea serpens,Chryseolinea,,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo642,423,1,1,423,100,"NR_136808.1 Phaeodactylibacter luteus strain GYP20 16S ribosomal RNA, partial sequence",NR_136808.1,1484,332,754,28.5,460.9,0,367/425,86,4/425,0,Plus,Plus,Bacteria; Bacteroidetes; Saprospiria; Saprospirales; Haliscomenobacteraceae; Phaeodactylibacter; Phaeodactylibacter luteus,Phaeodactylibacter luteus,Phaeodactylibacter,Haliscomenobacteraceae,Saprospirales,Saprospiria,Bacteroidetes,,Bacteria,,
denovo643,423,1,1,408,96.45,"NR_025007.1 Laceyella putida strain KCTC 3666 16S ribosomal RNA, partial sequence",NR_025007.1,1461,302,708,27.86,182.1,0,308/411,74,7/411,1,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo644,423,1,1,423,100,"NR_109544.1 Ornatilinea apprima strain P3M-1 16S ribosomal RNA, partial sequence",NR_109544.1,1462,331,753,28.93,383.4,0,353/425,83,4/425,0,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo645,423,1,1,423,100,"NR_115821.1 Alcanivorax pacificus W11-5 16S ribosomal RNA, partial sequence",NR_115821.1,1506,334,756,28.09,660.4,0,401/423,94,0/423,0,Plus,Plus,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Alcanivorax pacificus,Alcanivorax pacificus,Alcanivorax,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,,Bacteria,,
denovo646,423,1,1,413,97.64,"NR_132330.1 Litorilinea aerophila strain PRI-4131 16S ribosomal RNA, partial sequence",NR_132330.1,1543,334,746,26.77,220.9,0,324/422,76,18/422,4,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo647,423,1,1,423,100,"NR_104782.1 Spirochaeta aurantia subsp. aurantia strain J1 16S ribosomal RNA, partial sequence",NR_104782.1,1528,329,751,27.68,616.1,0,397/427,92,8/427,1,Plus,Plus,Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta; Spirochaeta aurantia,Spirochaeta aurantia,Spirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,,Bacteria,,
denovo648,423,1,1,423,100,"NR_026265.1 Caloramator proteoclasticus strain Uruguayensis 16S ribosomal RNA, partial sequence",NR_026265.1,1420,315,737,29.79,549.6,0,382/424,90,2/424,0,Plus,Plus,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Caloramator; Caloramator proteoclasticus,Caloramator proteoclasticus,Caloramator,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,,Bacteria,,
denovo649,423,2,1,423,100,"NR_074547.1 Fluviicola taffensis strain DSM 16823 16S ribosomal RNA, partial sequence",NR_074547.1,1513,335,757,27.96,638.2,0,397/423,93,0/423,0,Plus,Plus,Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Crocinitomicaceae; Fluviicola; Fluviicola taffensis,Fluviicola taffensis,Fluviicola,Crocinitomicaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,,Bacteria,,
denovo650,423,4,1,423,100,"NR_149795.1 Lentimicrobium saccharophilum strain TBC1 16S ribosomal RNA, partial sequence",NR_149795.1,1446,313,735,29.25,516.3,0,375/423,88,0/423,0,Plus,Plus,Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Lentimicrobiaceae; Lentimicrobium; Lentimicrobium saccharophilum,Lentimicrobium saccharophilum,Lentimicrobium,Lentimicrobiaceae,Bacteroidales,Bacteroidia,Bacteroidetes,,Bacteria,,
denovo651,423,5,1,423,100,"NR_151945.1 Micromonospora noduli strain GUI43 16S ribosomal RNA, partial sequence",NR_151945.1,1440,316,738,29.38,699.2,0,408/423,96,0/423,0,Plus,Plus,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Micromonospora; Micromonospora noduli,Micromonospora noduli,Micromonospora,Micromonosporaceae,Micromonosporales,Actinobacteria,Actinobacteria,,Bacteria,,
denovo652,423,1,1,423,100,"NR_114645.1 Sedimentibacter hongkongensis strain HKU2 16S ribosomal RNA, partial sequence",NR_114645.1,1474,347,773,28.97,708.4,0,413/427,96,4/427,0,Plus,Plus,Bacteria; Firmicutes; Tissierellia; ; ; Sedimentibacter; Sedimentibacter hongkongensis,Sedimentibacter hongkongensis,Sedimentibacter,,,Tissierellia,Firmicutes,,Bacteria,,
denovo653,423,1,1,423,100,"NR_074466.1 Thermodesulfobium narugense strain DSM 14796 16S ribosomal RNA, partial sequence",NR_074466.1,1508,329,749,27.92,237.5,0,330/428,77,12/428,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo654,423,1,1,423,100,"NR_028919.1 Caloranaerobacter azorensis strain MV1087 16S ribosomal RNA, partial sequence",NR_028919.1,1443,297,716,29.11,540.3,0,380/423,89,3/423,0,Plus,Plus,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Caloranaerobacter; Caloranaerobacter azorensis,Caloranaerobacter azorensis,Caloranaerobacter,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,,Bacteria,,
denovo655,423,1,1,405,95.74,"NR_151905.1 Vicinamibacter silvestris strain Ac_5_C6 16S ribosomal RNA, partial sequence",NR_151905.1,1515,343,747,26.73,494.2,0,359/405,88,0/405,0,Plus,Plus,Bacteria; Acidobacteria; Vicinamibacteria; ; Vicinamibacteraceae; Vicinamibacter; Vicinamibacter silvestris,Vicinamibacter silvestris,Vicinamibacter,Vicinamibacteraceae,,Vicinamibacteria,Acidobacteria,,Bacteria,,
denovo656,423,1,1,422,99.76,"NR_109471.1 Fontimonas thermophila strain HA-01 16S ribosomal RNA, partial sequence",NR_109471.1,1468,309,743,29.63,331.7,0,353/436,80,15/436,3,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo657,423,1,1,423,100,"NR_112617.1 Panacagrimonas perspica strain Gsoil 142 16S ribosomal RNA, partial sequence",NR_112617.1,1477,310,732,28.64,582.8,0,388/424,91,2/424,0,Plus,Plus,Bacteria; Proteobacteria; Gammaproteobacteria; Nevskiales; Sinobacteraceae; Panacagrimonas; Panacagrimonas perspica,Panacagrimonas perspica,Panacagrimonas,Sinobacteraceae,Nevskiales,Gammaproteobacteria,Proteobacteria,,Bacteria,,
denovo658,423,1,1,420,99.29,"NR_159236.1 Desulfonatronum parangueonense strain PAR180 16S ribosomal RNA, partial sequence",NR_159236.1,1515,311,730,27.72,455.4,0,368/426,86,12/426,2,Plus,Plus,Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfonatronaceae; Desulfonatronum; Desulfonatronum parangueonense,Desulfonatronum parangueonense,Desulfonatronum,Desulfonatronaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,,Bacteria,,
denovo659,423,1,1,423,100,"NR_152044.1 Pseudoflavitalea rhizosphaerae strain T16R-265 16S ribosomal RNA, partial sequence",NR_152044.1,1463,321,743,28.91,494.2,0,373/425,87,4/425,0,Plus,Plus,Bacteria; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; Pseudoflavitalea; Pseudoflavitalea rhizosphaerae,Pseudoflavitalea rhizosphaerae,Pseudoflavitalea,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,,Bacteria,,
denovo660,423,2,1,423,100,"NR_074491.2 Phycisphaera mikurensis NBRC 102666 16S ribosomal RNA, complete sequence",NR_074491.2,1506,332,755,28.15,449.9,0,366/426,85,5/426,1,Plus,Plus,Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; Phycisphaera; Phycisphaera mikurensis,Phycisphaera mikurensis,Phycisphaera,Phycisphaeraceae,Phycisphaerales,Phycisphaerae,Planctomycetes,,Bacteria,,
denovo661,423,1,1,396,93.62,"NR_163645.1 Roseisolibacter agri strain AW1220 16S ribosomal RNA, partial sequence",NR_163645.1,1496,316,710,26.4,453.5,0,351/401,87,11/401,2,Plus,Plus,Bacteria; Gemmatimonadetes; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; Roseisolibacter; Roseisolibacter agri,Roseisolibacter agri,Roseisolibacter,Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadetes,Gemmatimonadetes,,Bacteria,,
denovo662,423,2,1,423,100,"NR_075059.1 Thermoanaerobacter wiegelii Rt8.B1 16S ribosomal RNA, partial sequence",NR_075059.1,1599,356,777,26.39,448,0,369/429,86,13/429,3,Plus,Plus,Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; Thermoanaerobacter wiegelii,Thermoanaerobacter wiegelii,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,,Bacteria,,
denovo663,423,1,1,423,100,"NR_136475.1 Phaeocystidibacter marisrubri strain G18 16S ribosomal RNA, partial sequence",NR_136475.1,1480,331,753,28.58,544,0,383/426,89,6/426,1,Plus,Plus,Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Phaeocystidibacter; Phaeocystidibacter marisrubri,Phaeocystidibacter marisrubri,Phaeocystidibacter,Cryomorphaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,,Bacteria,,
denovo664,423,2,1,423,100,"NR_159190.1 Oceanibaculum nanhaiense strain L54-1-50 16S ribosomal RNA, partial sequence",NR_159190.1,1451,302,724,29.15,605,0,391/423,92,0/423,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Oceanibaculum; Oceanibaculum nanhaiense,Oceanibaculum nanhaiense,Oceanibaculum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo665,423,1,1,419,99.05,"NR_145663.1 Chitinophaga barathri strain YLT18 16S ribosomal RNA, partial sequence",NR_145663.1,1486,333,751,28.2,725,0,411/420,97,2/420,0,Plus,Plus,Bacteria; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; Chitinophaga; Chitinophaga barathri,Chitinophaga barathri,Chitinophaga,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,,Bacteria,,
denovo666,423,1,1,421,99.53,"NR_109738.1 Nocardioides salsibiostraticola strain PAMC 26527 16S ribosomal RNA, partial sequence",NR_109738.1,1461,311,730,28.75,350.1,0,349/426,81,11/426,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo667,423,1,1,423,100,"NR_136770.1 Gemmatimonas phototrophica strain AP64 16S ribosomal RNA, partial sequence",NR_136770.1,1525,322,744,27.74,560.7,0,386/426,90,6/426,1,Plus,Plus,Bacteria; Gemmatimonadetes; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; Gemmatimonas; Gemmatimonas phototrophica,Gemmatimonas phototrophica,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadetes,Gemmatimonadetes,,Bacteria,,
denovo668,423,1,1,423,100,"NR_117435.1 Ohtaekwangia koreensis strain 3B-2 16S ribosomal RNA, partial sequence",NR_117435.1,1444,312,734,29.29,632.7,0,397/424,93,2/424,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Ohtaekwangia; Ohtaekwangia koreensis,Ohtaekwangia koreensis,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo669,423,2,1,422,99.76,"NR_114381.1 Zhihengliuella flava strain H85-3 16S ribosomal RNA, partial sequence",NR_114381.1,1478,311,732,28.55,198.7,0,327/432,75,20/432,4,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo670,423,1,1,423,100,"NR_114701.1 Cylindrospermum stagnale PCC 7417 16S ribosomal RNA, partial sequence",NR_114701.1,1444,284,706,29.29,671.5,0,403/423,95,0/423,0,Plus,Plus,Bacteria; Cyanobacteria; ; Nostocales; Nostocaceae; Cylindrospermum; Cylindrospermum stagnale,Cylindrospermum stagnale,Cylindrospermum,Nostocaceae,Nostocales,,Cyanobacteria,,Bacteria,,
denovo671,423,1,1,423,100,"NR_027553.1 Bdellovibrio bacteriovorus strain HD100 16S ribosomal RNA, partial sequence",NR_027553.1,1294,271,693,32.69,505.3,0,375/425,88,4/425,0,Plus,Plus,Bacteria; Proteobacteria; Oligoflexia; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio; Bdellovibrio bacteriovorus,Bdellovibrio bacteriovorus,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Oligoflexia,Proteobacteria,,Bacteria,,
denovo672,423,2,1,423,100,"NR_164945.1 Rhodobacter thermarum strain YIM 73036 16S ribosomal RNA, partial sequence",NR_164945.1,1480,322,744,28.58,743.5,0,414/423,97,0/423,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter thermarum,Rhodobacter thermarum,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo673,423,1,1,423,100,"NR_115819.1 Ochrobactrum ciceri strain Ca-34 16S ribosomal RNA, partial sequence",NR_115819.1,1492,343,765,28.35,577.3,0,388/425,91,4/425,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; Ochrobactrum ciceri,Ochrobactrum ciceri,Ochrobactrum,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo674,423,2,1,423,100,"NR_027610.1 Hyphomicrobium facile subsp. ureaphilum strain IFAM CO-582 16S ribosomal RNA, partial sequence >gi|228721488|ref|NR_027611.1| Hyphomicrobium facile subsp. tolerans strain IFAM I-551 16S ribosomal RNA, partial sequence",NR_027610.1,1423,277,699,29.73,693.6,0,407/423,96,0/423,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; Hyphomicrobium facile,Hyphomicrobium facile,Hyphomicrobium,Hyphomicrobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo675,423,2,1,422,99.76,"NR_125457.1 Streptomyces catbensis strain NBRC 107860 16S ribosomal RNA, partial sequence",NR_125457.1,1438,288,706,29.14,405.5,0,357/424,84,7/424,1,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo676,423,1,1,423,100,"NR_152684.1 Hungateiclostridium saccincola strain GGR1 16S ribosomal RNA, partial sequence",NR_152684.1,1421,289,711,29.77,776.7,0,422/423,99,0/423,0,Plus,Plus,Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Hungateiclostridium; Hungateiclostridium saccincola,Hungateiclostridium saccincola,Hungateiclostridium,Hungateiclostridiaceae,Clostridiales,Clostridia,Firmicutes,,Bacteria,,
denovo677,423,1,1,423,100,"NR_041250.1 Terrimonas lutea strain DY 16S ribosomal RNA, partial sequence",NR_041250.1,1431,346,768,29.56,677,0,404/423,95,0/423,0,Plus,Plus,Bacteria; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; Terrimonas; Terrimonas lutea,Terrimonas lutea,Terrimonas,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,,Bacteria,,
denovo678,423,1,1,422,99.76,"NR_135886.1 Desulfoplanes formicivorans strain Pf12B 16S ribosomal RNA, partial sequence",NR_135886.1,1437,325,747,29.44,315.1,0,343/427,80,9/427,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo679,423,2,1,418,98.82,"NR_113898.1 Acholeplasma pleciae strain NBRC 100476 16S ribosomal RNA, partial sequence",NR_113898.1,1429,300,721,29.53,228.3,0,328/427,76,14/427,3,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
